Current,R_R,R_G,R_B,R_L,G_R,G_G,G_B,G_L,B_R,B_G,B_B,B_L
92,13190.400,3440.000,20.800,40.644,4473.600,16172.000,1731.600,100.353,556.800,4604.000,15667.600,108.257
93,13315.200,3480.000,10.400,40.988,4531.200,16272.000,1721.200,101.136,556.800,4636.000,15823.600,109.091
94,13440.000,3504.000,20.800,41.452,4531.200,16368.000,1726.400,101.824,556.800,4656.000,15932.800,109.994
95,13488.000,3540.000,20.800,41.839,4569.600,16444.000,1752.400,102.546,576.000,4712.000,15995.200,110.467
96,13660.800,3564.000,10.400,42.200,4598.400,16580.000,1768.000,103.398,576.000,4752.000,16156.400,111.447
97,13785.600,3604.000,10.400,42.725,4646.400,16660.000,1799.200,104.077,566.400,4780.000,16270.800,112.419
98,13891.200,3632.000,20.800,43.120,4627.200,16800.000,1814.800,104.636,576.000,4820.000,16432.000,113.486
99,14073.600,3688.000,15.600,43.585,4665.600,16904.000,1804.400,105.582,576.000,4852.000,16504.801,114.242
100,14208.000,3708.000,5.200,44.006,4742.400,17016.000,1851.200,106.176,595.200,4896.000,16686.801,114.991
101,14265.600,3736.000,15.600,44.376,4752.000,17108.000,1866.800,106.907,595.200,4940.000,16806.400,115.894
102,14486.400,3764.000,31.200,44.772,4800.000,17236.000,1882.400,107.741,595.200,4968.000,16941.600,116.814
103,14582.400,3812.000,20.800,45.253,4800.000,17308.000,1898.000,108.377,614.400,4996.000,17056.000,117.519
104,14659.200,3828.000,31.200,45.580,4848.000,17404.000,1924.000,109.151,604.800,5012.000,17165.199,118.353
105,14851.200,3876.000,15.600,46.053,4876.800,17524.000,1924.000,110.003,595.200,5064.000,17284.801,119.170
106,14899.200,3892.000,15.600,46.509,4896.000,17620.000,1944.800,110.484,633.600,5104.000,17420.000,120.073
107,15043.200,3936.000,10.400,46.904,4867.200,17748.000,1955.200,111.404,624.000,5152.000,17534.400,121.002
108,15264.000,3968.000,5.200,47.257,4934.400,17828.000,1981.200,112.041,604.800,5180.000,17643.600,121.888
109,15312.000,3996.000,5.200,47.644,4963.200,17912.000,2002.000,112.780,624.000,5216.000,17763.199,122.636
110,15456.000,4028.000,10.400,48.100,4972.800,18056.000,2017.600,113.460,633.600,5256.000,17810.000,123.530
111,15609.600,4048.000,20.800,48.487,5030.400,18120.000,2028.000,113.941,643.200,5280.000,17997.199,124.184
112,15744.000,4112.000,20.800,48.977,5049.600,18248.000,2043.600,114.698,624.000,5332.000,18127.199,125.096
113,15868.800,4132.000,5.200,49.407,5078.400,18364.000,2069.600,115.489,643.200,5356.000,18200.000,125.887
114,15984.000,4156.000,31.200,49.794,5107.200,18468.000,2085.200,116.152,643.200,5400.000,18330.000,126.652
115,16166.400,4188.000,26.000,50.224,5145.600,18556.000,2095.600,116.840,633.600,5436.000,18475.600,127.538
116,16272.000,4240.000,20.800,50.680,5145.600,18668.000,2116.400,117.528,662.400,5460.000,18569.199,128.209
117,16377.600,4260.000,20.800,51.024,5184.000,18752.000,2126.800,118.276,681.600,5520.000,18683.600,129.009
118,16425.600,4292.000,15.600,51.428,5203.200,18876.000,2137.200,118.723,662.400,5524.000,18735.600,130.058
119,16560.000,4316.000,20.800,51.772,5193.600,18928.000,2163.200,119.540,681.600,5572.000,18907.199,130.677
120,16713.600,4352.000,20.800,52.245,5222.400,19036.000,2184.000,120.039,662.400,5604.000,18990.400,131.477
121,16857.600,4356.000,20.800,52.563,5260.800,19128.000,2194.400,120.667,681.600,5628.000,19130.801,132.165
122,17001.600,4412.000,15.600,53.002,5241.600,19208.000,2204.800,121.535,710.400,5676.000,19250.400,133.102
123,17088.000,4432.000,20.800,53.449,5270.400,19356.000,2236.000,122.077,672.000,5712.000,19364.801,133.842
124,17251.199,4488.000,20.800,53.879,5299.200,19408.000,2236.000,122.722,700.800,5744.000,19401.199,134.693
125,17376.000,4512.000,15.600,54.163,5347.200,19492.000,2267.200,123.367,710.400,5784.000,19583.199,135.433
126,17481.600,4540.000,5.200,54.679,5366.400,19632.000,2262.000,124.107,700.800,5824.000,19697.600,136.241
127,17558.400,4584.000,20.800,55.143,5366.400,19720.000,2319.200,124.820,729.600,5852.000,19817.199,137.058
128,17769.600,4600.000,20.800,55.547,5414.400,19772.000,2324.400,125.182,720.000,5892.000,19952.400,137.987
129,17904.000,4632.000,15.600,55.900,5452.800,19880.000,2319.200,125.956,720.000,5928.000,20040.801,138.761
130,18038.400,4644.000,20.800,56.313,5472.000,19956.000,2350.400,126.721,739.200,5964.000,20144.801,139.475
131,18115.199,4692.000,26.000,56.726,5539.200,20076.000,2355.600,127.263,720.000,5992.000,20311.199,140.266
132,18278.400,4704.000,31.200,57.078,5539.200,20176.000,2360.800,127.813,739.200,6036.000,20410.000,141.272
133,18326.400,4752.000,15.600,57.474,5558.400,20236.000,2392.000,128.329,748.800,6052.000,20493.199,141.926
134,18441.600,4780.000,10.400,57.809,5577.600,20340.000,2407.600,129.172,729.600,6092.000,20602.400,142.648
135,18576.000,4828.000,10.400,58.274,5587.200,20408.000,2428.400,129.722,729.600,6124.000,20711.600,143.388
136,18729.600,4848.000,15.600,58.781,5625.600,20520.000,2444.000,130.436,748.800,6180.000,20852.000,144.059
137,18825.600,4860.000,5.200,59.220,5644.800,20608.000,2464.800,131.012,748.800,6192.000,20919.600,144.953
138,19008.000,4900.000,20.800,59.529,5635.200,20688.000,2470.000,131.597,777.600,6232.000,21080.801,145.675
139,19084.801,4924.000,26.000,59.908,5683.200,20768.000,2496.000,132.311,748.800,6264.000,21153.600,146.458
140,19219.199,4956.000,15.600,60.363,5712.000,20872.000,2501.200,132.930,768.000,6312.000,21236.801,147.180
141,19363.199,4988.000,26.000,60.639,5740.800,20956.000,2522.000,133.377,777.600,6356.000,21372.000,148.023
142,19420.801,5024.000,20.800,61.077,5740.800,21016.000,2532.400,134.160,758.400,6376.000,21476.000,148.668
143,19555.199,5064.000,26.000,61.550,5731.200,21128.000,2568.800,134.753,777.600,6416.000,21522.801,149.382
144,19670.400,5080.000,15.600,61.903,5779.200,21208.000,2563.600,135.287,777.600,6460.000,21668.400,150.087
145,19795.199,5100.000,26.000,62.264,5779.200,21312.000,2600.000,135.880,787.200,6488.000,21788.000,150.861
146,19958.400,5128.000,15.600,62.728,5846.400,21396.000,2615.600,136.344,796.800,6500.000,21881.600,151.463
147,20016.000,5172.000,20.800,63.004,5856.000,21460.000,2626.000,137.050,796.800,6556.000,21985.600,152.332
148,20102.400,5176.000,31.200,63.416,5865.600,21552.000,2636.400,137.643,816.000,6560.000,22094.801,153.106
149,20246.400,5228.000,31.200,63.829,5894.400,21628.000,2652.000,138.374,796.800,6580.000,22198.801,153.656
150,20371.199,5240.000,20.800,64.216,5913.600,21756.000,2662.400,138.933,816.000,6644.000,22250.801,154.490
151,20486.400,5268.000,31.200,64.629,5904.000,21824.000,2657.200,139.389,816.000,6668.000,22401.600,155.333
152,20620.801,5312.000,31.200,64.982,5952.000,21872.000,2704.000,139.922,825.600,6716.000,22510.801,155.806
153,20707.199,5348.000,31.200,65.403,6019.200,21972.000,2714.400,140.679,835.200,6748.000,22594.000,156.477
154,20841.600,5356.000,15.600,65.756,6019.200,22068.000,2724.800,141.152,844.800,6768.000,22718.801,157.234
155,20985.600,5360.000,26.000,66.125,6048.000,22164.000,2745.600,141.917,835.200,6808.000,22786.400,158.102
156,21043.199,5416.000,20.800,66.504,6086.400,22256.000,2761.200,142.442,816.000,6812.000,22890.400,158.773
157,21196.801,5448.000,20.800,66.882,6076.800,22316.000,2771.600,142.880,806.400,6848.000,23030.801,159.444
158,21321.600,5492.000,20.800,67.166,6115.200,22420.000,2792.400,143.672,835.200,6908.000,23056.801,160.175
159,21427.199,5512.000,26.000,67.596,6124.800,22472.000,2818.400,144.024,844.800,6928.000,23197.199,160.915
160,21504.000,5548.000,31.200,68.078,6115.200,22568.000,2839.200,144.652,873.600,6952.000,23254.400,161.413
161,21648.000,5564.000,26.000,68.336,6163.200,22644.000,2839.200,145.228,854.400,6996.000,23368.801,162.127
162,21763.199,5572.000,31.200,68.843,6163.200,22720.000,2844.400,145.710,864.000,7048.000,23446.801,162.712
163,21849.600,5608.000,31.200,69.230,6192.000,22744.000,2854.800,146.406,854.400,7052.000,23561.199,163.667
164,21964.801,5628.000,15.600,69.634,6201.600,22868.000,2896.400,146.897,854.400,7112.000,23675.600,164.243
165,22108.801,5676.000,31.200,69.884,6249.600,22976.000,2891.200,147.473,883.200,7128.000,23748.400,165.043
166,22156.801,5680.000,20.800,70.262,6268.800,23044.000,2927.600,148.023,854.400,7148.000,23852.400,165.679
167,22272.000,5732.000,31.200,70.744,6288.000,23144.000,2922.400,148.651,883.200,7188.000,23940.801,166.350
168,22416.000,5752.000,36.400,71.122,6297.600,23168.000,2943.200,149.133,873.600,7216.000,24003.199,166.806
169,22502.400,5764.000,20.800,71.466,6307.200,23292.000,2979.600,149.606,892.800,7276.000,24128.000,167.700
170,22550.400,5796.000,15.600,71.724,6307.200,23324.000,2984.800,150.233,873.600,7276.000,24268.400,168.225
171,22752.000,5800.000,26.000,71.982,6374.400,23440.000,3005.600,150.939,912.000,7308.000,24351.600,169.033
172,22800.000,5844.000,36.400,72.472,6364.800,23476.000,3021.200,151.179,892.800,7364.000,24450.400,169.618
173,22924.801,5868.000,26.000,72.808,6374.400,23576.000,3016.000,151.644,912.000,7400.000,24476.400,170.400
174,23040.000,5904.000,15.600,73.246,6422.400,23696.000,3036.800,152.358,883.200,7380.000,24648.000,170.977
175,23059.199,5932.000,20.800,73.633,6432.000,23688.000,3042.000,152.684,902.400,7432.000,24694.801,171.613
176,23232.000,5952.000,31.200,74.020,6451.200,23764.000,3073.200,153.329,902.400,7468.000,24814.400,172.215
177,23347.199,5972.000,41.600,74.304,6499.200,23844.000,3073.200,153.931,902.400,7524.000,24908.000,172.912
178,23462.400,6012.000,26.000,74.614,6499.200,23952.000,3109.600,154.361,921.600,7544.000,25032.801,173.832
179,23510.400,6048.000,10.400,75.121,6508.800,24012.000,3130.400,154.860,883.200,7580.000,25027.600,174.485
180,23664.000,6060.000,26.000,75.448,6489.600,24068.000,3140.800,155.531,931.200,7600.000,25194.000,175.019
181,23817.600,6096.000,36.400,75.749,6556.800,24196.000,3135.600,155.987,921.600,7624.000,25225.199,175.775
182,23856.000,6104.000,31.200,76.084,6518.400,24252.000,3172.000,156.511,940.800,7664.000,25370.801,176.429
183,23971.199,6140.000,20.800,76.540,6566.400,24332.000,3187.600,157.208,931.200,7676.000,25443.600,176.928
184,24057.600,6160.000,31.200,76.875,6585.600,24368.000,3208.400,157.466,921.600,7724.000,25511.199,177.513
185,24192.000,6196.000,26.000,77.254,6604.800,24436.000,3198.000,158.094,950.400,7768.000,25599.600,178.209
186,24316.801,6208.000,15.600,77.727,6624.000,24548.000,3234.400,158.532,988.800,7776.000,25703.600,178.768
187,24403.199,6224.000,31.200,77.959,6672.000,24600.000,3234.400,159.031,960.000,7812.000,25792.000,179.577
188,24480.000,6264.000,41.600,78.320,6691.200,24704.000,3255.200,159.728,940.800,7856.000,25880.400,180.179
189,24604.801,6292.000,20.800,78.750,6681.600,24732.000,3281.200,160.063,940.800,7872.000,25948.000,180.901
190,24748.801,6332.000,26.000,79.129,6748.800,24832.000,3296.800,160.579,960.000,7912.000,26098.801,181.572
191,24825.600,6344.000,26.000,79.412,6720.000,24852.000,3312.400,160.966,979.200,7952.000,26176.801,182.045
192,24940.801,6344.000,52.000,79.774,6758.400,24940.000,3317.600,161.499,950.400,7968.000,26213.199,182.784
193,25017.600,6384.000,15.600,80.152,6768.000,25008.000,3317.600,161.972,979.200,8004.000,26312.000,183.533
194,25113.600,6412.000,26.000,80.530,6739.200,25080.000,3354.000,162.471,979.200,8024.000,26405.600,184.006
195,25190.400,6440.000,20.800,80.849,6787.200,25152.000,3364.400,162.927,960.000,8076.000,26488.801,184.737
196,25363.199,6460.000,31.200,81.322,6835.200,25240.000,3369.600,163.314,979.200,8080.000,26561.600,185.519
197,25478.400,6504.000,31.200,81.623,6854.400,25300.000,3395.600,163.744,988.800,8136.000,26634.400,185.803
198,25536.000,6528.000,36.400,81.924,6854.400,25388.000,3411.200,164.398,979.200,8156.000,26774.801,186.560
199,25593.600,6548.000,31.200,82.250,6883.200,25464.000,3421.600,164.888,998.400,8176.000,26832.000,187.196
200,25728.000,6560.000,36.400,82.646,6892.800,25488.000,3447.600,165.283,998.400,8200.000,26832.000,187.815
201,25843.199,6592.000,41.600,82.990,6912.000,25548.000,3437.200,165.679,1017.600,8232.000,26998.400,188.297
202,25900.801,6628.000,36.400,83.377,6940.800,25640.000,3452.800,166.290,1008.000,8272.000,27071.199,189.071
203,25987.199,6636.000,26.000,83.738,6950.400,25704.000,3468.400,166.849,1027.200,8304.000,27206.400,189.716
204,26140.801,6648.000,26.000,84.039,6950.400,25736.000,3489.200,167.158,1027.200,8312.000,27206.400,190.137
205,26208.000,6688.000,41.600,84.332,7017.600,25800.000,3489.200,167.752,1027.200,8356.000,27336.400,190.765
206,26361.600,6708.000,31.200,84.469,7008.000,25904.000,3520.400,168.173,1036.800,8392.000,27430.000,191.221
207,26438.400,6720.000,31.200,85.071,7056.000,25944.000,3530.800,168.637,988.800,8420.000,27534.000,191.961
208,26534.400,6764.000,36.400,85.415,7027.200,26032.000,3546.400,169.153,1056.000,8444.000,27596.400,192.692
209,26553.600,6772.000,36.400,85.811,7056.000,26136.000,3567.200,169.515,1065.600,8488.000,27690.000,193.311
210,26745.600,6800.000,26.000,86.275,7075.200,26140.000,3572.400,170.151,1046.400,8488.000,27762.801,193.887
211,26793.600,6824.000,31.200,86.482,7065.600,26196.000,3598.400,170.624,1046.400,8536.000,27835.600,194.506
212,26870.400,6864.000,20.800,86.783,7104.000,26268.000,3598.400,171.123,1056.000,8568.000,27955.199,195.082
