timestamp,R,G,B,luminosity
00:12:24.244781,0.0,0.0,0.0,0.0
00:12:24.744873,0.0,0.0,0.0,6.1146
00:12:25.244995,2035.199951,536.0,0.0,6.106
00:12:25.745056,2016.0,552.0,0.0,6.1232
00:12:26.245147,2016.0,536.0,5.2,6.0716
00:12:26.745269,2035.199951,536.0,176.800003,24.166
00:12:27.245300,1324.800049,4256.0,301.600006,24.2176
00:12:27.745391,1324.800049,4256.0,291.200012,24.174601
00:12:28.245605,1344.0,4232.0,291.200012,24.114401
00:12:28.745544,1324.800049,4256.0,1976.0,22.643801
00:12:29.245635,96.0,952.0,3250.0,22.652401
00:12:29.745849,115.199997,952.0,3244.800049,22.618
00:12:30.245819,115.199997,952.0,3255.199951,22.6008
00:12:30.745910,96.0,952.0,1388.400024,0.0
00:12:31.246063,0.0,0.0,0.0,0.0
00:12:31.746093,0.0,0.0,0.0,0.0172
00:12:32.246185,0.0,0.0,0.0,0.0172
00:12:32.746307,0.0,0.0,0.0,6.5016
00:12:33.246337,2150.399902,576.0,0.0,6.5618
00:12:33.746429,2188.800049,576.0,0.0,6.5446
00:12:34.246490,2150.399902,576.0,0.0,6.536
00:12:34.746582,2169.600098,568.0,176.800003,25.5506
00:12:35.246673,1401.599976,4480.0,301.600006,25.593599
00:12:35.747009,1382.400024,4460.0,343.200012,25.4216
00:12:36.246856,1401.599976,4464.0,332.799988,25.5592
00:12:36.746948,1401.599976,4472.0,2121.600098,23.993999
00:12:37.247009,115.199997,1016.0,3452.800049,24.037001
00:12:37.747131,96.0,1008.0,3442.399902,24.0284
00:12:38.247192,115.199997,1008.0,3442.399902,24.045601
00:12:38.747253,115.199997,1008.0,1445.599976,0.0
00:12:39.247314,0.0,0.0,0.0,0.0
00:12:39.747406,0.0,0.0,0.0,0.0
00:12:40.247467,0.0,0.0,0.0,0.0
00:12:40.747558,0.0,0.0,0.0,7.0348
00:12:41.247650,2323.199951,616.0,0.0,7.0176
00:12:41.747741,2323.199951,616.0,0.0,7.0004
00:12:42.247802,2323.199951,608.0,0.0,7.0176
00:12:42.747894,2323.199951,616.0,197.600006,26.8578
00:12:43.247985,1440.0,4680.0,338.0,26.9352
00:12:43.748077,1459.199951,4680.0,343.200012,26.8578
00:12:44.248168,1459.199951,4688.0,343.200012,26.8836
00:12:44.748260,1459.199951,4692.0,2288.0,25.455999
00:12:45.248352,115.199997,1072.0,3660.800049,25.4818
00:12:45.748443,115.199997,1072.0,3640.0,25.378599
00:12:46.248535,115.199997,1064.0,3660.800049,25.370001
00:12:46.748626,134.399994,1072.0,1487.199951,0.0172
00:12:47.248687,0.0,0.0,0.0,0.0
00:12:47.748809,0.0,0.0,0.0,0.0
00:12:48.248901,0.0,0.0,0.0,0.0
00:12:48.749084,0.0,0.0,0.0,7.4992
00:12:49.249084,2476.800049,656.0,0.0,7.4992
00:12:49.749176,2476.800049,656.0,0.0,7.4734
00:12:50.249359,2476.800049,656.0,0.0,7.482
00:12:50.749359,2448.0,656.0,213.199997,28.225201
00:12:51.249450,1497.599976,4896.0,358.799988,28.1908
00:12:51.749572,1516.800049,4912.0,364.0,28.1306
00:12:52.249633,1516.800049,4904.0,353.600006,28.1908
00:12:52.749725,1507.199951,4912.0,2464.800049,26.849199
00:12:53.249938,115.199997,1120.0,3858.399902,26.8578
00:12:53.749877,115.199997,1128.0,3863.600098,26.8664
00:12:54.249969,134.399994,1120.0,3858.399902,26.8234
00:12:54.750152,115.199997,1136.0,1528.800049,0.0
00:12:55.250183,0.0,0.0,0.0,0.0086
00:12:55.750274,0.0,0.0,0.0,0.0
00:12:56.250488,0.0,0.0,0.0,0.0
00:12:56.750427,0.0,0.0,0.0,7.9464
00:12:57.250518,2611.199951,696.0,0.0,7.9034
00:12:57.750610,2630.399902,692.0,0.0,7.9206
00:12:58.250671,2611.199951,688.0,0.0,7.9292
00:12:58.750762,2611.199951,688.0,223.600006,29.506599
00:12:59.251007,1612.800049,5128.0,374.399994,29.506599
00:12:59.750946,1593.599976,5136.0,390.0,29.506599
00:13:00.251037,1593.599976,5120.0,358.799988,29.3948
00:13:00.751220,1584.0,5104.0,2631.199951,28.294001
00:13:01.251220,134.399994,1184.0,4050.800049,28.2768
00:13:01.751312,124.800003,1192.0,4076.800049,28.156401
00:13:02.251373,134.399994,1192.0,4076.800049,28.208
00:13:02.751464,96.0,1192.0,1580.800049,0.0
00:13:03.251556,0.0,0.0,0.0,0.0172
00:13:03.751617,0.0,0.0,0.0,0.0
00:13:04.251678,0.0,0.0,0.0,0.0
00:13:04.751770,0.0,0.0,0.0,8.3764
00:13:05.251861,2784.0,736.0,0.0,8.3506
00:13:05.751953,2784.0,728.0,0.0,8.3764
00:13:06.252044,2745.600098,736.0,0.0,8.3764
00:13:06.752136,2764.800049,728.0,249.600006,30.7106
00:13:07.252227,1632.0,5336.0,395.200012,30.8482
00:13:07.752319,1632.0,5328.0,405.600006,30.753599
00:13:08.252441,1641.599976,5352.0,395.200012,30.762199
00:13:08.752563,1632.0,5344.0,2808.0,29.6528
00:13:09.252655,134.399994,1248.0,4274.399902,29.644199
00:13:09.752716,134.399994,1240.0,4264.0,29.618401
00:13:10.252807,134.399994,1240.0,4274.399902,29.644199
00:13:10.752960,134.399994,1248.0,1601.599976,0.0086
00:13:11.252990,0.0,0.0,0.0,0.0
00:13:11.753082,0.0,0.0,0.0,0.0
00:13:12.253173,0.0,0.0,0.0,0.0
00:13:12.753234,0.0,0.0,0.0,8.8666
00:13:13.253326,2880.0,768.0,0.0,8.8752
00:13:13.753570,2918.399902,768.0,0.0,8.8236
00:13:14.253509,2880.0,768.0,10.4,8.815
00:13:14.753631,2889.600098,768.0,270.399994,32.0522
00:13:15.253692,1689.599976,5536.0,410.799988,32.026402
00:13:15.753723,1708.800049,5528.0,426.399994,32.0522
00:13:16.253814,1689.599976,5552.0,421.200012,32.009201
00:13:16.754028,1708.800049,5528.0,2953.600098,31.0116
00:13:17.253967,153.600006,1304.0,4461.600098,30.9256
00:13:17.754058,144.0,1304.0,4451.200195,30.9342
00:13:18.254241,134.399994,1300.0,4466.799805,30.9342
00:13:18.754241,153.600006,1304.0,1622.400024,0.0
00:13:19.254333,0.0,0.0,0.0,0.0
00:13:19.754486,0.0,0.0,0.0,0.0
00:13:20.254486,0.0,0.0,0.0,0.0
00:13:20.754577,0.0,0.0,0.0,9.3224
00:13:21.254791,3033.600098,800.0,0.0,9.2966
00:13:21.754760,3072.0,800.0,10.4,9.2794
00:13:22.254821,3052.800049,808.0,0.0,9.288
00:13:22.754943,3052.800049,804.0,280.799988,33.264801
00:13:23.254974,1766.400024,5736.0,436.799988,33.2906
00:13:23.755065,1766.400024,5728.0,436.799988,33.3078
00:13:24.255126,1785.599976,5736.0,431.600006,33.221802
00:13:24.755218,1766.400024,5760.0,3135.600098,32.370399
00:13:25.255310,153.600006,1344.0,4669.600098,32.370399
00:13:25.755523,153.600006,1360.0,4654.0,32.344601
00:13:26.255462,134.399994,1356.0,4669.600098,32.258598
00:13:26.755554,172.800003,1344.0,1632.800049,0.0
00:13:27.255676,0.0,0.0,0.0,0.0
00:13:27.755737,0.0,0.0,0.0,0.0
00:13:28.255828,0.0,0.0,0.0,0.0
