timestamp,Current_R,Current_G,Current_B,R,G,B,luminosity
00:17:05.792510,49,0,0,7200.0,1880.0,10.4,21.8612
00:17:07.792938,0,49,0,3072.0,10580.0,967.200012,63.812
00:17:09.793182,0,0,49,307.200012,2760.0,9536.799805,65.9104
00:17:13.793884,50,0,0,7372.799805,1916.0,10.4,22.3514
00:17:15.794189,0,50,0,3100.800049,10736.0,972.400024,64.628998
00:17:17.794555,0,0,50,326.399994,2824.0,9708.400391,66.942398
00:17:21.795257,51,0,0,7468.799805,1956.0,10.4,22.712601
00:17:23.795593,0,51,0,3148.800049,10896.0,993.200012,65.5578
00:17:25.795898,0,0,51,326.399994,2868.0,9854.0,67.974403
00:17:29.796661,52,0,0,7632.0,2008.0,0.0,23.1856
00:17:31.796936,0,52,0,3187.199951,11040.0,1008.799988,66.598396
00:17:33.797302,0,0,52,326.399994,2920.0,10025.599609,69.126801
00:17:37.797943,53,0,0,7795.200195,2024.0,10.4,23.6672
00:17:39.798278,0,53,0,3225.600098,11188.0,1019.200012,67.5186
00:17:41.798645,0,0,53,345.600006,2968.0,10192.0,70.244797
00:17:45.799377,54,0,0,7929.600098,2064.0,5.2,24.105801
00:17:47.799682,0,54,0,3244.800049,11316.0,1050.400024,68.447403
00:17:49.800018,0,0,54,364.799988,2996.0,10337.599609,71.199402
00:17:53.800689,55,0,0,8064.0,2128.0,15.6,24.5874
00:17:55.801025,0,55,0,3292.800049,11464.0,1071.199951,69.350403
00:17:57.801422,0,0,55,364.799988,3056.0,10420.799805,72.317398
00:18:01.802062,56,0,0,8217.599609,2148.0,5.2,25.008801
00:18:03.802429,0,56,0,3360.0,11596.0,1092.0,70.459801
00:18:05.802734,0,0,56,345.600006,3104.0,10613.200195,73.358002
00:18:09.803497,57,0,0,8352.0,2180.0,10.4,25.455999
00:18:11.803710,0,57,0,3379.199951,11756.0,1107.599976,71.379997
00:18:13.804046,0,0,57,384.0,3144.0,10738.0,74.398598
00:18:17.804779,58,0,0,8505.599609,2224.0,15.6,25.886
00:18:19.805206,0,58,0,3417.600098,11880.0,1112.800049,72.334602
00:18:21.805541,0,0,58,364.799988,3192.0,10940.799805,75.378998
00:18:25.806213,59,0,0,8611.200195,2264.0,0.0,26.290199
00:18:27.806518,0,59,0,3456.0,12048.0,1133.599976,73.125801
00:18:29.806884,0,0,59,384.0,3228.0,11081.200195,76.600197
00:18:33.807586,60,0,0,8764.799805,2288.0,0.0,26.771799
00:18:35.808044,0,60,0,3475.199951,12184.0,1149.199951,74.063202
00:18:37.808380,0,0,60,374.399994,3272.0,11216.400391,77.511803
00:18:41.809082,61,0,0,8832.0,2344.0,5.2,27.219
00:18:43.809417,0,61,0,3532.800049,12324.0,1170.0,74.914597
00:18:45.809783,0,0,61,384.0,3336.0,11398.400391,78.595398
00:18:49.810485,62,0,0,9062.400391,2368.0,5.2,27.623199
00:18:51.810821,0,62,0,3552.0,12460.0,1196.0,75.808998
00:18:53.811187,0,0,62,422.399994,3360.0,11538.799805,79.593002
00:18:57.811889,63,0,0,9187.200195,2408.0,15.6,28.1134
00:18:59.812347,0,63,0,3609.600098,12576.0,1222.0,76.7034
00:19:01.812713,0,0,63,403.200012,3404.0,11679.200195,80.7024
00:19:05.813354,64,0,0,9369.599609,2460.0,5.2,28.4918
00:19:07.813690,0,64,0,3619.199951,12684.0,1227.199951,77.614998
00:19:09.814117,0,0,64,403.200012,3468.0,11845.599609,81.708603
00:19:13.814697,65,0,0,9494.400391,2464.0,0.0,28.999201
00:19:15.815155,0,65,0,3686.399902,12820.0,1227.199951,78.285797
00:19:17.815368,0,0,65,422.399994,3492.0,11996.400391,82.809402
00:19:21.816101,66,0,0,9638.400391,2512.0,5.2,29.420601
00:19:23.816406,0,66,0,3705.600098,12956.0,1242.800049,79.309196
00:19:25.816741,0,0,66,432.0,3548.0,12152.400391,83.764
00:19:29.817443,67,0,0,9753.599609,2564.0,5.2,29.902201
00:19:31.817779,0,67,0,3724.800049,13104.0,1268.800049,80.160599
00:19:33.818176,0,0,67,422.399994,3576.0,12266.799805,84.692802
00:19:37.818939,68,0,0,9945.599609,2576.0,15.6,30.3494
00:19:39.819213,0,68,0,3763.199951,13244.0,1294.800049,81.072197
00:19:41.819549,0,0,68,422.399994,3636.0,12417.599609,85.741997
00:19:46.320343,69,0,0,10051.200195,2620.0,0.0,30.7278
00:19:48.320709,0,69,0,3801.600098,13368.0,1315.599976,81.734398
00:19:50.321044,0,0,69,451.200012,3688.0,12578.799805,86.903
00:19:54.321685,70,0,0,10195.200195,2660.0,15.6,31.166401
00:19:56.322021,0,70,0,3840.0,13496.0,1310.400024,82.732002
00:19:58.322509,0,0,70,422.399994,3704.0,12714.0,87.720001
00:20:02.323120,71,0,0,10320.0,2688.0,20.799999,31.6308
00:20:04.323577,0,71,0,3878.399902,13624.0,1346.800049,83.549004
00:20:06.323822,0,0,71,441.600006,3768.0,12854.400391,88.734802
00:20:10.324645,72,0,0,10454.400391,2712.0,5.2,32.138199
00:20:12.324829,0,72,0,3916.800049,13744.0,1372.800049,84.417603
00:20:14.325134,0,0,72,460.799988,3780.0,12979.200195,89.680801
00:20:18.325836,73,0,0,10588.799805,2784.0,5.2,32.559601
00:20:20.326202,0,73,0,3936.0,13860.0,1393.599976,85.157204
00:20:22.326568,0,0,73,460.799988,3840.0,13104.0,90.661201
00:20:26.327331,74,0,0,10732.799805,2812.0,15.6,32.972401
00:20:28.327545,0,74,0,3936.0,13992.0,1398.800049,86.120399
00:20:30.327880,0,0,74,432.0,3892.0,13254.799805,91.719002
00:20:34.328491,75,0,0,10867.200195,2832.0,10.4,33.368
00:20:36.328857,0,75,0,3984.0,14132.0,1409.199951,86.9804
00:20:38.329284,0,0,75,480.0,3920.0,13400.400391,92.4758
00:20:42.329925,76,0,0,10953.599609,2880.0,15.6,33.8582
00:20:44.330230,0,76,0,4003.199951,14228.0,1430.0,87.763
00:20:46.330566,0,0,76,480.0,3956.0,13587.599609,93.619598
00:20:50.331237,77,0,0,11145.599609,2920.0,5.2,34.253799
00:20:52.331573,0,77,0,4070.399902,14336.0,1440.400024,88.597198
00:20:54.331970,0,0,77,470.399994,4020.0,13702.0,94.488197
00:20:58.332611,78,0,0,11299.200195,2940.0,15.6,34.658001
00:21:00.333038,0,78,0,4060.800049,14496.0,1456.0,89.353996
00:21:02.333312,0,0,78,480.0,4048.0,13837.200195,95.356796
00:21:06.334045,79,0,0,11433.599609,2980.0,15.6,35.131001
00:21:08.334411,0,79,0,4099.200195,14600.0,1476.800049,90.1968
00:21:10.334777,0,0,79,451.200012,4088.0,13930.799805,96.268402
00:21:14.335449,80,0,0,11558.400391,3024.0,15.6,35.578201
00:21:16.335784,0,80,0,4147.200195,14720.0,1497.599976,90.970802
00:21:18.336120,0,0,80,470.399994,4104.0,14112.799805,97.326202
00:21:22.336944,81,0,0,11712.0,3056.0,10.4,36.034
00:21:24.337158,0,81,0,4195.200195,14868.0,1513.199951,91.719002
00:21:26.337493,0,0,81,499.200012,4156.0,14248.0,98.332397
00:21:30.338226,82,0,0,11836.799805,3100.0,15.6,36.498402
00:21:32.338531,0,82,0,4214.399902,14976.0,1560.0,92.587601
00:21:34.338928,0,0,82,499.200012,4204.0,14341.599609,99.226799
00:21:38.339599,83,0,0,11961.599609,3132.0,10.4,36.868198
00:21:40.339965,0,83,0,4252.799805,15092.0,1570.400024,93.318604
00:21:42.340301,0,0,83,508.799988,4224.0,14456.0,100.017998
00:21:46.340972,84,0,0,12057.599609,3144.0,10.4,37.2724
00:21:48.341339,0,84,0,4262.399902,15180.0,1565.199951,94.204399
00:21:50.341735,0,0,84,508.799988,4288.0,14612.0,101.015602
00:21:54.342315,85,0,0,12192.0,3196.0,15.6,37.667999
00:21:56.342712,0,85,0,4300.799805,15332.0,1591.199951,94.883797
00:21:58.343048,0,0,85,528.0,4316.0,14742.0,101.901398
00:22:02.343750,86,0,0,12345.599609,3240.0,15.6,38.201199
00:22:04.344085,0,86,0,4300.799805,15432.0,1606.800049,95.709396
00:22:06.344451,0,0,86,518.400024,4348.0,14882.400391,102.683998
00:22:10.345123,87,0,0,12499.200195,3260.0,20.799999,38.502201
00:22:12.345520,0,87,0,4358.399902,15572.0,1622.400024,96.560799
00:22:14.345764,0,0,87,556.799988,4400.0,15038.400391,103.776199
00:22:18.346435,88,0,0,12604.799805,3308.0,10.4,38.966599
00:22:20.346771,0,88,0,4387.200195,15680.0,1638.0,97.326202
00:22:22.347076,0,0,88,537.599976,4436.0,15116.400391,104.575996
00:22:26.347778,89,0,0,12758.400391,3340.0,15.6,39.405201
00:22:28.348205,0,89,0,4435.200195,15796.0,1648.400024,97.859398
00:22:30.348480,0,0,89,547.200012,4480.0,15303.599609,105.453201
00:22:34.349304,90,0,0,12854.400391,3376.0,20.799999,39.835201
00:22:36.349548,0,90,0,4454.399902,15924.0,1684.800049,98.925797
00:22:38.349914,0,0,90,566.400024,4524.0,15444.0,106.502403
00:22:42.350585,91,0,0,13027.200195,3400.0,10.4,40.222198
00:22:44.350891,0,91,0,4473.600098,16004.0,1705.599976,99.570801
00:22:46.351165,0,0,91,537.599976,4556.0,15542.799805,107.353798
00:22:50.351898,92,0,0,13190.400391,3440.0,20.799999,40.6436
00:22:52.352294,0,92,0,4473.600098,16172.0,1731.599976,100.353401
00:22:54.352661,0,0,92,556.799988,4604.0,15667.599609,108.256798
00:22:58.353393,93,0,0,13315.200195,3480.0,10.4,40.987598
00:23:00.353698,0,93,0,4531.200195,16272.0,1721.199951,101.136002
00:23:02.354095,0,0,93,556.799988,4636.0,15823.599609,109.091003
00:23:06.354705,94,0,0,13440.0,3504.0,20.799999,41.452
00:23:08.355041,0,94,0,4531.200195,16368.0,1726.400024,101.823997
00:23:10.355346,0,0,94,556.799988,4656.0,15932.799805,109.994003
00:23:14.356048,95,0,0,13488.0,3540.0,20.799999,41.839001
00:23:16.356445,0,95,0,4569.600098,16444.0,1752.400024,102.546402
00:23:18.356872,0,0,95,576.0,4712.0,15995.200195,110.467003
00:23:22.357452,96,0,0,13660.799805,3564.0,10.4,42.200199
00:23:24.357879,0,96,0,4598.399902,16580.0,1768.0,103.397797
00:23:26.358184,0,0,96,576.0,4752.0,16156.400391,111.447403
00:23:30.358856,97,0,0,13785.599609,3604.0,10.4,42.7248
00:23:32.359222,0,97,0,4646.399902,16660.0,1799.199951,104.077202
00:23:34.359558,0,0,97,566.400024,4780.0,16270.799805,112.419197
00:23:38.360260,98,0,0,13891.200195,3632.0,20.799999,43.120399
00:23:40.360626,0,98,0,4627.200195,16800.0,1814.800049,104.6362
00:23:42.360961,0,0,98,576.0,4820.0,16432.0,113.485603
00:23:46.361694,99,0,0,14073.599609,3688.0,15.6,43.584801
00:23:48.361968,0,99,0,4665.600098,16904.0,1804.400024,105.582199
00:23:50.362335,0,0,99,576.0,4852.0,16504.800781,114.242401
00:23:54.362976,100,0,0,14208.0,3708.0,5.2,44.006199
00:23:56.363372,0,100,0,4742.399902,17016.0,1851.199951,106.175598
00:23:58.363708,0,0,100,595.200012,4896.0,16686.800781,114.990601
00:24:02.364410,101,0,0,14265.599609,3736.0,15.6,44.375999
